Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
17258154,Court Avenue Brewing Company,216,Des Moines,"309 Court Ave, Des Moines, IA 50309",Downtown,"Downtown, Des Moines",-93.620726,41.58536,"American, Pizza, Bar Food",40,Dollar($),No,No,No,No,3,4.2,Green,Very Good,370
17259340,Django,216,Des Moines,"210 10th Street, Des Moines, IA 50309",Downtown,"Downtown, Des Moines",-93.629436,41.584027,French,40,Dollar($),No,No,No,No,3,4.3,Green,Very Good,532
17259243,Miyabi 9,216,Des Moines,"512 E Grand Ave, Des Moines, IA 50309",East Village,"East Village, Des Moines",-93.611366,41.590819,"Japanese, Sushi",25,Dollar($),No,No,No,No,2,4.8,Dark Green,Excellent,860
17259625,Zombie Burger + Drink Lab,216,Des Moines,"300 E. Grand Ave., Des Moines, IA 50309",East Village,"East Village, Des Moines",-93.61474,41.590106,"Burger, Desserts, Vegetarian",10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,943
17259169,Tursi's Latin King,216,Des Moines,"2200 Hubbell Ave, Des Moines, IA 50317",Fairground,"Fairground, Des Moines",-93.577383,41.601415,"American, Italian",70,Dollar($),No,No,No,No,4,4.1,Green,Very Good,476
17259166,Tsing Tsao South,216,Des Moines,"4230 Fleur Dr, Des Moines, IA 50321",Greater South Side,"Greater South Side, Des Moines",-93.645245,41.545869,Chinese,10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,218
17259335,Bandit Burrito,216,Des Moines,"5340 Merle Hay Road, Johnston, IA 50131",Johnston,"Johnston, Des Moines",-93.6976773,41.6714654,"Breakfast, Mexican, Southwestern",10,Dollar($),No,No,No,No,1,4,Green,Very Good,214
17259248,Jethro's BBQ,216,Des Moines,"3100 Forest Ave, Des Moines, IA 50311",Kingman Place Historic District,"Kingman Place Historic District, Des Moines",-93.659797,41.603901,"American, BBQ",25,Dollar($),No,No,No,No,2,4.3,Green,Very Good,699
17258552,The Machine Shed Restaurant,216,Des Moines,"11151 Hickman Road, Urbandale, IA 50322",Urbandale,"Urbandale, Des Moines",-93.772033,41.615083,"American, Breakfast",25,Dollar($),No,No,No,No,2,3.8,Yellow,Good,308
17259550,Mi Patria,216,Des Moines,"1410 22nd St., West Des Moines, IA 50266",West Des Moines,"West Des Moines, Des Moines",-93.73624,41.594039,Latin American,25,Dollar($),No,No,No,No,2,4,Green,Very Good,157
17259200,Waterfront Seafood Market,216,Des Moines,"2900 University Ave, West Des Moines, IA 50266",West Des Moines,"West Des Moines, Des Moines",-93.7441981,41.5991771,"Seafood, Sushi",40,Dollar($),No,No,No,No,3,4.2,Green,Very Good,530
16615894,The Giggling Goat,14,Dicky Beach,"14 Beerburrum St, Dicky Beach, QLD",Dicky Beach,"Dicky Beach, Dicky Beach",153.137401,-26.783576,"Coffee and Tea, Tea, Modern Australian",7,Dollar($),No,No,No,No,1,3.6,Yellow,Good,29
17342816,Burnt Toast Cafe,216,Dubuque,"1220 Iowa St, Dubuque, IA 52001",Dubuque,"Dubuque, Dubuque",-90.667668,42.504759,Breakfast,10,Dollar($),No,No,No,No,1,3.4,Orange,Average,33
17342498,Catfish Charlie's,216,Dubuque,"1630 E 16th St, Dubuque, IA 52001",Dubuque,"Dubuque, Dubuque",-90.6499328,42.5124724,Seafood,25,Dollar($),No,No,No,No,2,3.3,Orange,Average,40
17342648,Salsa's Mexican Restaurant,216,Dubuque,"1091 Main St, Dubuque, IA 52001",Dubuque,"Dubuque, Dubuque",-90.6684746,42.5032004,Mexican,10,Dollar($),No,No,No,No,1,3.4,Orange,Average,153
17342781,Tony Roma's,216,Dubuque,"350 Bell St, Dubuque, IA 52001",Dubuque,"Dubuque, Dubuque",-90.658609,42.496464,"American, BBQ, Seafood",25,Dollar($),No,No,No,No,2,3.3,Orange,Average,65
17342799,Vinny Vanucchi's,216,Dubuque,"180 Main Street, Dubuque, IA 52001",Dubuque,"Dubuque, Dubuque",-90.664029,42.495689,Italian,25,Dollar($),No,No,No,No,2,3.4,Orange,Average,58
17342772,Champps Americana,216,Dubuque,"3100 Dodge St., Dubuque, IA 52003",Dubuque,"Dubuque, Dubuque",-90.715247,42.492018,"American, Burger, Sandwich",25,Dollar($),No,No,No,No,2,3.5,Yellow,Good,100
17342771,Fiesta Cancun,216,Dubuque,"2515 NW Arterial, Dubuque, IA 52002",Dubuque,"Dubuque, Dubuque",-90.740213,42.49092,Mexican,10,Dollar($),No,No,No,No,1,3.6,Yellow,Good,156
17342548,Happy Joe's Pizza & Ice Cream,216,Dubuque,"855 Century Dr, Dubuque, IA 52002",Dubuque,"Dubuque, Dubuque",-90.7264,42.4955,"Desserts, Pizza, Ice Cream",0,Dollar($),No,No,No,No,1,3.5,Yellow,Good,74
17342556,Houlihan's,216,Dubuque,"1795 Greyhound Park Rd, Dubuque, IA 52001",Dubuque,"Dubuque, Dubuque",-90.645294,42.516621,"American, Burger",25,Dollar($),No,No,No,No,2,3.6,Yellow,Good,117
17342811,Ichiban Hibachi Steakhouse & Sushi Bar,216,Dubuque,"3187 University Ave, Dubuque, IA 52001",Dubuque,"Dubuque, Dubuque",-90.712084,42.492963,"Japanese, Steak, Sushi",40,Dollar($),No,No,No,No,3,3.7,Yellow,Good,83
17342576,Kalmes Breaktime Bar & Grill,216,Dubuque,"1097 Jackson St, Dubuque, IA 52001",Dubuque,"Dubuque, Dubuque",-90.6646,42.5043,"American, Burger",25,Dollar($),No,No,No,No,2,3.6,Yellow,Good,48
17342770,L. May Eatery,216,Dubuque,"1072 Main St, Dubuque, IA 52001",Dubuque,"Dubuque, Dubuque",-90.668164,42.503075,"International, Pizza",40,Dollar($),No,No,No,No,3,3.8,Yellow,Good,198
17342585,Los Aztecas,216,Dubuque,"2700 Dodge St, Dubuque, IA 52003",Dubuque,"Dubuque, Dubuque",-90.7055,42.4916,Mexican,10,Dollar($),No,No,No,No,1,3.5,Yellow,Good,126
17342494,Manna Java World Cafe,216,Dubuque,"700 Locust St, Dubuque, IA 52001",Dubuque,"Dubuque, Dubuque",-90.6677349,42.500191,"Breakfast, Pizza",10,Dollar($),No,No,No,No,1,3.5,Yellow,Good,119
17342594,Mario's Italian Restaurant,216,Dubuque,"1298 Main St, Dubuque, IA 52001",Dubuque,"Dubuque, Dubuque",-90.6691,42.5048,"American, Italian",25,Dollar($),No,No,No,No,2,3.6,Yellow,Good,140
17342625,Pepper Sprout Incorporated,216,Dubuque,"378 Main St, Dubuque, IA 52001",Dubuque,"Dubuque, Dubuque",-90.6651,42.4974,American,40,Dollar($),No,No,No,No,3,3.6,Yellow,Good,159
17342652,Shot Tower Inn,216,Dubuque,"290 Locust St, Dubuque, IA 52001",Dubuque,"Dubuque, Dubuque",-90.6658,42.4963,"Italian, Pizza",25,Dollar($),No,No,No,No,2,3.6,Yellow,Good,131
17342665,Sunshine Family Restaurant,216,Dubuque,"401 Central Ave, Dubuque, IA 52001",Dubuque,"Dubuque, Dubuque",-90.663686,42.4982789,"American, Breakfast, Burger",10,Dollar($),No,No,No,No,1,3.5,Yellow,Good,60
17342810,Watershed Cafe,216,Dubuque,"51 W 32nd Street, Dubuque, IA 52001",Dubuque,"Dubuque, Dubuque",-90.684882,42.527556,"American, Burger, Pizza, Cafe",25,Dollar($),No,No,No,No,2,3.7,Yellow,Good,89
17342775,Woodfire Grille,216,Dubuque,"301 Bell Street, Dubuque, IA 52001",Dubuque,"Dubuque, Dubuque",-90.658988,42.496378,"American, Seafood, Steak",70,Dollar($),No,No,No,No,4,3.6,Yellow,Good,72
16612028,The Belle General,14,East Ballina,"12 Shelly Beach Rd, East Ballina, NSW",East Ballina,"East Ballina, East Ballina",153.593331,-28.862663,Cafe,20,Dollar($),No,No,No,No,2,4.1,Green,Very Good,56
17536645,Jehova es Mi Pastor Tacos y Burritos,216,Fernley,"135 W. Main Street, Fernley, NV 89408",Fernley,"Fernley, Fernley",-119.252694,39.607515,Mexican,10,Dollar($),No,No,No,No,1,3.7,Yellow,Good,83
16613507,Flaxton Gardens,14,Flaxton,"313 Flaxton Drive, Flaxton, QLD",Flaxton,"Flaxton, Flaxton",152.8771473,-26.6521332,"Tea, Modern Australian",30,Dollar($),No,No,No,No,3,3.5,Yellow,Good,37
16607969,Bespoke Harvest,14,Forrest,"16 Grant St, Forrest, VIC",Forrest,"Forrest, Forrest",143.714315,-38.517292,"Cafe, Australian",20,Dollar($),No,No,No,No,2,3.7,Yellow,Good,29
17374405,Houndstooth Grill & Tavern,216,Gainesville,"6323 Grand Hickory Dr Ste 200A, Braselton, GA 30517",Braselton,"Braselton, Gainesville",-83.8461,34.0901,"American, Sandwich, Seafood",25,Dollar($),No,No,No,No,2,4.4,Green,Very Good,239
17375060,Hawg Wild BBQ & Catfish House,216,Gainesville,"515 Grant Street, Clarkesville, GA 30523",Clarkesville,"Clarkesville, Gainesville",-83.520693,34.61802,"BBQ, Burger, Seafood",10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,235
17375164,Bourbon Street Grille,216,Gainesville,"90 Public Sq N, Dahlonega, GA 30533",Dahlonega,"Dahlonega, Gainesville",-83.985353,34.532973,"American, Burger, Cajun",25,Dollar($),No,No,No,No,2,3.8,Yellow,Good,88
17374552,Corkscrew Cafe,216,Gainesville,"51 W Main St, Dahlonega, GA 30533",Dahlonega,"Dahlonega, Gainesville",-83.9858,34.5318,,40,Dollar($),No,No,No,No,3,3.9,Yellow,Good,209
17375078,Smokin Gold BBQ,216,Gainesville,"59 E Main St, Dahlonega, GA 30533",Dahlonega,"Dahlonega, Gainesville",-83.983939,34.533626,BBQ,10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,133
17375049,Hoka-Hoka Japanese Steak & Sushi,216,Gainesville,"617 North Grove Street, Dahlonega, GA 30533",Dahlonega,"Dahlonega, Gainesville",-83.989317,34.541044,"Chinese, Japanese, Thai",10,Dollar($),No,No,No,No,1,4.4,Green,Very Good,267
17375077,Shenanigan's Irish Pub,216,Gainesville,"87 N. Chestatee St., Dahlonega, GA 30533",Dahlonega,"Dahlonega, Gainesville",-83.986119,34.533198,"Bar Food, Seafood, Vegetarian",25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,171
17375141,Fish Tales Lakeside Grille,216,Gainesville,"6330 Mitchell Street, Flowery Branch, GA 30542",Flowery Branch,"Flowery Branch, Gainesville",-83.938024,34.183573,Seafood,25,Dollar($),No,No,No,No,2,3.8,Yellow,Good,107
17375198,Antebellum,216,Gainesville,"5510 Church Street, Flowery Branch, GA 30542",Flowery Branch,"Flowery Branch, Gainesville",-83.926217,34.185707,"American, Southern",40,Dollar($),No,No,No,No,3,4.3,Green,Very Good,164
17375180,Moonie's Texas Barbecue,216,Gainesville,"5545 Atlanta Highway, Flowery Branch, GA 30542",Flowery Branch,"Flowery Branch, Gainesville",-83.927794,34.180043,"BBQ, Sandwich",10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,182
17375072,Atlanta Highway Seafood Market,216,Gainesville,"227 Atlanta Highway Suite 900, Gainesville, GA 30501",Gainesville,"Gainesville, Gainesville",-83.838457,34.285102,"Sandwich, Seafood, Cajun",25,Dollar($),No,No,No,No,2,4.9,Dark Green,Excellent,681
17375047,Eat at Thai,216,Gainesville,"975 Dawsonville Hwy, Gainesville, GA 30501",Gainesville,"Gainesville, Gainesville",-83.857993,34.300182,Thai,10,Dollar($),No,No,No,No,1,4.6,Dark Green,Excellent,357
17375074,Smoke House BBQ and Catering,216,Gainesville,"3205 Atlanta Hwy, Atlanta Highway, Gainesville, GA, Gainesville, GA 30507",Gainesville,"Gainesville, Gainesville",-83.860098,34.222755,BBQ,25,Dollar($),No,No,No,No,2,3.8,Yellow,Good,89
17374921,2 Dog,216,Gainesville,"317 Spring St SE, Gainesville, GA 30501",Gainesville,"Gainesville, Gainesville",-83.824023,34.300567,"American, European, Sandwich",25,Dollar($),No,No,No,No,2,4.2,Green,Very Good,350
17374819,Longstreet Cafe,216,Gainesville,"1043 Riverside Terrace, Gainesville, GA 30501",Gainesville,"Gainesville, Gainesville",-83.8272,34.3166,Southern,10,Dollar($),No,No,No,No,1,4.3,Green,Very Good,298
17375089,Re-Cess,216,Gainesville,"118 Bradford St NE, Gainesville, GA 30501",Gainesville,"Gainesville, Gainesville",-83.82686,34.300332,"American, Southern",25,Dollar($),No,No,No,No,2,4.2,Green,Very Good,319
17375214,Bodensee,216,Gainesville,"64 Munich Strasse, Helen, GA 30545",Helen,"Helen, Gainesville",-83.727741,34.701594,German,40,Dollar($),No,No,No,No,3,3.8,Yellow,Good,114
17374951,Hofer's Bakery & Cafe,216,Gainesville,"8758 N Main St, Helen, GA 30545",Helen,"Helen, Gainesville",-83.7345,34.7024,"German, Ice Cream",10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,136
17374978,Troll Tavern,216,Gainesville,"8590 N Main St Ste B, Helen, GA 30545",Helen,"Helen, Gainesville",-83.7334,34.7021,"Burger, German, Sandwich",25,Dollar($),No,No,No,No,2,2.2,Red,Poor,108
17375104,The Nacoochee Village Tavern & Pizzeria,216,Gainesville,"7275 S Main St., Helen, GA 30545",Helen,"Helen, Gainesville",-83.713498,34.691208,"Italian, Pizza, Sandwich",10,Dollar($),No,No,No,No,1,4,Green,Very Good,161
16604358,Blue Bean Love Cafe,14,Hepburn Springs,"115 Main Rd, Hepburn Springs, Hepburn Springs, VIC",Hepburn Springs,"Hepburn Springs, Hepburn Springs",144.1387014,-37.3123267,"Cafe, Coffee and Tea, Modern Australian",20,Dollar($),No,No,No,No,2,3.8,Yellow,Good,192
16604896,La Trattoria of Lavandula,14,Hepburn Springs,"350 Hepburn-Newstead Road, Hepburn Springs, VIC",Hepburn Springs,"Hepburn Springs, Hepburn Springs",144.110062,-37.275494,"Italian, Fusion, Cafe",7,Dollar($),No,No,No,No,1,3.8,Yellow,Good,93
16612550,5 Little Pigs,14,Huskisson,"64 Owen St, Huskisson, NSW",Huskisson,"Huskisson, Huskisson",150.6710743,-35.0388698,"Breakfast, Modern Australian",20,Dollar($),No,No,No,No,2,4.1,Green,Very Good,40
16606299,Beach Box Cafe,14,Inverloch,"6a Ramsay Blvd, Inverloch, VIC",Inverloch,"Inverloch, Inverloch",145.7287133,-38.6347458,"Burger, Coffee and Tea, Modern Australian",7,Dollar($),No,No,No,No,1,3.7,Yellow,Good,100
16605794,Funkey Monkey,14,Lakes Entrance,"26 Myer street, Lakes Entrance, VIC",Lakes Entrance,"Lakes Entrance, Lakes Entrance",147.9942247,-37.8783865,"Breakfast, Coffee and Tea",7,Dollar($),No,No,No,No,1,3.8,Yellow,Good,97
17557488,Burger Queen Drive In,216,Lakeview,"109 S F St, Lakeview, OR 97630",Lakeview,"Lakeview, Lakeview",-120.3458,42.1885,"Burger, Desserts, Sandwich",10,Dollar($),No,No,No,No,1,3.6,Yellow,Good,41
17452342,Blue Orchid Thai Restaurant,216,Lincoln,"129 N 10th St, Lincoln, NE 68508",Haymarket,"Haymarket, Lincoln",-96.7072,40.8143,Thai,25,Dollar($),No,No,No,No,2,4.5,Dark Green,Excellent,799
16611498,Stillwater on Belmore,14,Lorn,"27 Belmore Rd,, Lorn, NSW",Lorn,"Lorn, Lorn",151.558475,-32.728097,"Breakfast, Coffee and Tea",20,Dollar($),No,No,No,No,2,3.6,Yellow,Good,18
17842104,Mr.,14,Macedon,"23 Victoria St, Macedon, VIC",Macedon,"Macedon, Macedon",144.564174,-37.423189,Cafe,20,Dollar($),No,No,No,No,2,3.5,Yellow,Good,31
17501291,Emilio's Cuban Cafe,216,Macon,"402 Ga. Highway 247, Bonaire, GA 31005",Bonaire,"Bonaire, Macon",-83.594494,32.567741,"Coffee and Tea, Cuban, Latin American",25,Dollar($),No,No,No,No,2,3.9,Yellow,Good,146
17500759,Ingleside Village Pizza,216,Macon,"2395 Ingleside Ave, Macon, GA 31204",Macon,"Macon, Macon",-83.657061,32.853896,"Pizza, Sandwich",10,Dollar($),No,No,No,No,1,4.9,Dark Green,Excellent,478
17500767,Jim Shaw's Seafood Grill & Bar,216,Macon,"3040 Vineville Ave, Macon, GA 31204",Macon,"Macon, Macon",-83.6737,32.8496,Seafood,25,Dollar($),No,No,No,No,2,4.6,Dark Green,Excellent,467
17500819,Mandarin Chinese Restaurant,216,Macon,"3086 Riverside Dr, Macon, GA 31210",Macon,"Macon, Macon",-83.6766,32.8899,"Chinese, Thai",25,Dollar($),No,No,No,No,2,4.5,Dark Green,Excellent,302
17500911,Rookery,216,Macon,"543 Cherry St, Macon, GA 31201",Macon,"Macon, Macon",-83.6279,32.8361,"Burger, Desserts, Bar Food",25,Dollar($),No,No,No,No,2,4.5,Dark Green,Excellent,289
17501439,Dovetail,216,Macon,"543 Cherry St, Macon, GA 31201",Macon,"Macon, Macon",-83.627979,32.83641,,40,Dollar($),No,No,No,No,3,3.8,Yellow,Good,102
17501279,Bonefish Grill,216,Macon,"5080 Riverside Dr, Macon, GA 31210",Macon,"Macon, Macon",-83.713978,32.929278,"American, Seafood",40,Dollar($),No,No,No,No,3,4.1,Green,Very Good,293
17500695,Downtown Grill,216,Macon,"562 Mulberry St, Macon, GA 31201",Macon,"Macon, Macon",-83.6276,32.8375,Steak,70,Dollar($),No,No,No,No,4,4,Green,Very Good,195
17501298,Greek Corner Deli,216,Macon,"587 Cherry St, Macon, GA 31201",Macon,"Macon, Macon",-83.628703,32.83654,"Desserts, Greek, Sandwich",10,Dollar($),No,No,No,No,1,4.3,Green,Very Good,244
17500847,Natalia's,216,Macon,"201 North Macon St., Macon, GA 31210",Macon,"Macon, Macon",-83.787993,32.928495,"European, Italian, Mediterranean",70,Dollar($),No,No,No,No,4,4.2,Green,Very Good,379
17500872,Papouli's Mediterranean Cafe & Market,216,Macon,"121 Tom Hill Sr Blvd, Macon, GA 31210",Macon,"Macon, Macon",-83.6873,32.901,"Greek, Mediterranean, Vegetarian",10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,223
17501315,Benson's Steak and Sushi,216,Macon,"1289 S Houston Lake Rd, Warner Robins, GA 31088",Warner Robins,"Warner Robins, Macon",-83.662421,32.556873,"American, Chinese, Sushi",25,Dollar($),No,No,No,No,2,3.7,Yellow,Good,243
17501201,My Fathers Place,216,Macon,"2507 Moody Rd, Warner Robins, GA 31088",Warner Robins,"Warner Robins, Macon",-83.624,32.5786,Italian,25,Dollar($),No,No,No,No,2,3.7,Yellow,Good,104
17501247,Sushi Thai Restaurant,216,Macon,"2624 Watson Blvd Ste D, Warner Robins, GA 31093",Warner Robins,"Warner Robins, Macon",-83.6665,32.6184,"Japanese, Sushi, Thai",10,Dollar($),No,No,No,No,1,3.7,Yellow,Good,153
17501281,The Mellow Mushroom,216,Macon,"710 Lake Joy Road, Warner Robins, GA 31088",Warner Robins,"Warner Robins, Macon",-83.691044,32.552684,"Pizza, Sandwich, Vegetarian",25,Dollar($),No,No,No,No,2,3.8,Yellow,Good,323
17501143,El Jalisciense Mexican Restaurant,216,Macon,"1224 Russell Pkwy, Warner Robins, GA 31088",Warner Robins,"Warner Robins, Macon",-83.64935,32.594666,Mexican,10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,181
17501292,Greek Village,216,Macon,"1801 Watson Blvd, Warner Robins, GA 31093",Warner Robins,"Warner Robins, Macon",-83.636618,32.6176839,"American, Greek, Seafood",25,Dollar($),No,No,No,No,2,4,Green,Very Good,316
17501308,Martin's BBQ,216,Macon,"102 S Armed Forces Boulevard, Warner Robins, GA 31088",Warner Robins,"Warner Robins, Macon",-83.600201,32.619321,BBQ,25,Dollar($),No,No,No,No,2,4.2,Green,Very Good,288
17501301,Thai Pepper,216,Macon,"1806 Russell Parkway, Warner Robins, GA 31088",Warner Robins,"Warner Robins, Macon",-83.665557,32.593264,"Japanese, Sushi, Thai",10,Dollar($),No,No,No,No,1,4,Green,Very Good,232
17501268,Zen Japanese Steakhouse and Sushi Bar,216,Macon,"4086 Watson Blvd, Warner Robins, GA 31093",Warner Robins,"Warner Robins, Macon",-83.7184,32.6147,"Japanese, Steak, Sushi",40,Dollar($),No,No,No,No,3,4.1,Green,Very Good,314
16611701,Star Buffet,14,Mayfield,"58 Hanbury St, Mayfield, NSW",Mayfield,"Mayfield, Mayfield",151.7343832,-32.899178,Asian,20,Dollar($),No,No,No,No,2,2.9,Orange,Average,11
17482142,Triangle Restaurant,216,Mc Millan,"21053 State Hwy M28, Mc Millan, MI 49853",Mc Millan,"Mc Millan, Mc Millan",-85.7363,46.3718,"Breakfast, Burger",10,Dollar($),No,No,No,No,1,2.4,Red,Poor,17
16609169,Three Anchors,14,Middleton Beach,"2 Flinders Pde, Middleton Beach, WA",Middleton Beach,"Middleton Beach, Middleton Beach",117.917166,-35.025861,"Bar Food, Modern Australian",30,Dollar($),No,No,No,No,3,3.8,Yellow,Good,176
17606621,HI Lite Bar & Lounge,216,Miller,"109 N Broadway Ave, Miller, SD 57362",Miller,"Miller, Miller",-98.9891,44.5158,,0,Dollar($),No,No,No,No,1,3.4,Orange,Average,11
17687832,Vince's Restaurant & Pizzeria,216,Monroe,"619 4th Ave, Monroe, WI 53566",Monroe,"Monroe, Monroe",-89.653487,42.606306,"Italian, Pizza",25,Dollar($),No,No,No,No,2,3.6,Yellow,Good,65
16613059,Poets Cafe,14,Montville,"167 Main St, Montville, QLD",Montville,"Montville, Montville",152.893735,-26.690462,"Coffee and Tea, Modern Australian",30,Dollar($),No,No,No,No,3,2.4,Red,Poor,193
17534788,The Artesian Restaurant,216,Ojo Caliente,"Ojo Caliente Mineral Springs Resort And Spa 50 Los Banos Rd, Ojo Caliente, NM 87549",Ojo Caliente,"Ojo Caliente, Ojo Caliente",-106.057666,36.313638,"American, International, Southwestern",40,Dollar($),No,No,No,No,3,3.6,Yellow,Good,30
17061237,Ceví_che Tapas Bar & Restaurant,216,Orlando,"125 West Church Street, Orlando, FL 32801",Church Street District,"Church Street District, Orlando",-81.381077,28.540432,"Spanish, Tapas",40,Dollar($),No,No,No,No,3,4.4,Green,Very Good,981
17057397,'Ohana,216,Orlando,"1600 Seven Seas Drive, Lake Buena Vista, FL 32830",Disney World Area,"Disney World Area, Orlando",-81.585226,28.405437,Hawaiian,45,Dollar($),No,No,No,No,3,4.5,Dark Green,Excellent,1151
17058534,Earl of Sandwich,216,Orlando,"1750 E Buena Vista Drive, Lake Buena Vista, FL 32830",Disney: Downtown Disney,"Disney: Downtown Disney, Orlando",-81.514608,28.372858,"American, Sandwich, Salad",35,Dollar($),No,No,No,No,3,4.7,Dark Green,Excellent,1341
17060320,Raglan Road Irish Pub and Restaurant,216,Orlando,"1640 E Buena Vista Drive, Lake Buena Vista, FL 32830",Disney: Downtown Disney,"Disney: Downtown Disney, Orlando",-81.517725,28.371338,Irish,50,Dollar($),No,No,No,No,4,4.3,Green,Very Good,782
17057925,Cafí© Tu Tu Tango,216,Orlando,"8625 International Drive, Orlando, FL 32819",I-Drive/Universal,"I-Drive/Universal, Orlando",-81.469986,28.440344,"New American, Tapas",40,Dollar($),No,No,No,No,3,4.6,Dark Green,Excellent,1293
17060869,Texas de Brazil,216,Orlando,"5259 International Drive, Orlando, FL 32819",I-Drive/Universal,"I-Drive/Universal, Orlando",-81.4510725,28.4676808,"Brazilian, Steak",100,Dollar($),No,No,No,No,4,4.6,Dark Green,Excellent,2324
17057591,Bahama Breeze Island Grille,216,Orlando,"8849 International Drive, Orlando, FL 32819",I-Drive/Universal,"I-Drive/Universal, Orlando",-81.471526,28.437065,Caribbean,45,Dollar($),No,No,No,No,3,4.3,Green,Very Good,910
17059541,Maggiano's Little Italy,216,Orlando,"9101 International Drive,Orlando, FL 32819",I-Drive/Universal,"I-Drive/Universal, Orlando",-81.471447,28.433235,Italian,50,Dollar($),No,No,No,No,4,4.4,Green,Very Good,886
17064266,Hawkers Asian Street Fare,216,Orlando,"1103 N Mills Avenue, Orlando, FL 32803",Mills 50,"Mills 50, Orlando",-81.364347,28.560505,"Asian, Thai",35,Dollar($),No,No,No,No,3,4.6,Dark Green,Excellent,1293
17064405,Tako Cheena by Pom Pom,216,Orlando,"932 North Mills Avenue, Orlando, FL 32803",Mills 50,"Mills 50, Orlando",-81.364547,28.557845,"Asian, Latin American, Vegetarian",10,Dollar($),No,No,No,No,1,4.4,Green,Very Good,570
17060516,Seasons 52 Fresh Grill,216,Orlando,"7700 West Sand Lake Road, Orlando, FL 32819",Restaurant Row,"Restaurant Row, Orlando",-81.487978,28.448175,American,60,Dollar($),No,No,No,No,4,4.4,Green,Very Good,1685
17059012,Hollerbach's Willow Tree Cafí©,216,Orlando,"205 East 1st Street, Sanford, FL 32771",Sanford,"Sanford, Orlando",-81.266871,28.811653,German,40,Dollar($),No,No,No,No,3,4.8,Dark Green,Excellent,1699
17061296,Pom Pom's Teahouse and Sandwicheria,216,Orlando,"67 North Bumby Avenue, Orlando, FL 32803",The Milk District,"The Milk District, Orlando",-81.351467,28.543571,"American, Sandwich, Tea",25,Dollar($),No,No,No,No,2,4.9,Dark Green,Excellent,1457
